repository,topic,review_status
easyhoov/deepseek-harness-desktop,deepseek-harness|dsh-plugin,related
echo-escape/dsh-workbench,dsh-plugin,verified_plugin
echo-xianyu/dsh-better-chat-history,dsh-plugin,verified_plugin
echo-xianyu/dsh-go-rotator,dsh-plugin,verified_plugin
edwardyang0011/dsh-ui-skins,deepseek-harness|dsh-plugin,verified_plugin
egnmosk/dsh-browser-bridge,deepseek-harness|dsh-plugin,verified_plugin
Elaina-real/dsh-tiered-approval,dsh-plugin,verified_plugin
Electricitysheep/dsh-handbook,dsh-plugin,rejected
Electricitysheep/dsh-tool-turbo,dsh-plugin,verified_plugin
elohia/dsh-plugin-mm-vision,dsh-plugin,verified_plugin
elohia/pi-mm-vision,dsh-plugin,watchlist
emredeveloper/deepseek-harness-huggingface,dsh-plugin,verified_plugin
entireyu/dsh-launcher,dsh-plugin,related
equinox7379/dsh-config-watch,deepseek-harness|dsh-plugin,verified_plugin
equinox7379/dsh-daily-brief,deepseek-harness|dsh-plugin,verified_plugin
equinox7379/dsh-session-repair,deepseek-harness|dsh-plugin,verified_plugin
equinox7379/dsh-turn-watchdog,deepseek-harness|dsh-plugin,verified_plugin
equinox7379/dsh-update-radar,deepseek-harness|dsh-plugin,verified_plugin
erduotong/dsh-plugin-graph,deepseek-harness|dsh-plugin,verified_plugin
ericwong5021/deepseek-plugin-store,deepseek-harness|dsh-plugin,rejected
ericwong5021/dsh-kanban,deepseek-harness|dsh-plugin,verified_plugin
Ericwong5021/dsh-taskboard,dsh-plugin,verified_plugin
ethanhuangebor/dsh-input-queue,deepseek-harness,verified_plugin
ethanhuangebor/voicelens,deepseek-harness,verified_plugin
ethanout/computer-use-plus,deepseek-harness|dsh-plugin,verified_plugin
eveerme/deepseek-harness-desktop,deepseek-harness,rejected
evilirving/dsh-context-proxy,dsh-plugin,verified_plugin
evilirving/dsh-proof,dsh-plugin,verified_plugin
evilirving/dsh-repro,dsh-plugin,verified_plugin
f0909172434/dsh-plugin-verified-search,deepseek-harness|dsh-plugin,verified_plugin
fakechris/dsh-harness-ops,dsh-plugin,verified_plugin
fakechris/dsh-track,dsh-plugin,verified_plugin
fanshong/dsh-docker-sidebar,deepseek-harness|dsh-plugin,verified_plugin
fantasystarry/dsh-token-stats,dsh-plugin,verified_plugin
favio8/dsh-plugin-deepeye,deepseek-harness|dsh-plugin,verified_plugin
favio8/dsh-plugins,deepseek-harness,verified_plugin
feiyang-dev/deepseek-harness-desktop,dsh-plugin,rejected
fengzhiyushui/dsh-desktop-window,dsh-plugin,verified_plugin
feoh333/dsh-delegate,deepseek-harness|dsh-plugin,verified_plugin
fff122/dsh-agent-arcade,dsh-plugin,verified_plugin
fff122/dsh-prompt-presets,dsh-plugin,verified_plugin
fff122/dsh-research-notes,dsh-plugin,verified_plugin
fff122/dsh-task-checklist,dsh-plugin,verified_plugin
fflow2023/dsh-usage-cost,dsh-plugin,verified_plugin
Fisfzy/ego-browser,dsh-plugin,verified_plugin
Fisfzy/math-lean,dsh-plugin,watchlist
Fisfzy/zotero-harvest,dsh-plugin,verified_plugin
Fisfzy/zotero-wave-rag,dsh-plugin,verified_plugin
fishlikewater/dsh-mcp-manager,deepseek-harness|dsh-plugin,verified_plugin
fishquito7/dsh-skill-viewer,dsh-plugin,verified_plugin
fishsb/dsh-prompt-enhancer,deepseek-harness|dsh-plugin,watchlist
fishxcode/dsh-plugin-deepseek-balance,dsh-plugin,verified_plugin
flaqai/deepeseek-harness-guide,deepseek-harness,rejected
FlashingChen/dsh-worktree,dsh-plugin,verified_plugin
flee42/dsh-desktop,dsh-plugin,rejected
fly3366/deepjit,deepseek-harness|dsh-plugin,verified_plugin
flymysql/dsh-memory,deepseek-harness|dsh-plugin,verified_plugin
flymysql/dsh-remote,deepseek-harness|dsh-plugin,verified_plugin
flysheep-ai/learn_deepseek_harness,deepseek-harness,rejected
flytomayday80/dsh-pet,deepseek-harness|dsh-plugin,related
Flyvhidbwo/dsh-vision-proxy,dsh-plugin,verified_plugin
forrestchang/dsh-multica-runtime,dsh-plugin,verified_plugin
forrestsweet/dsh-agent-replay,deepseek-harness|dsh-plugin,verified_plugin
fountunt/dsh-session-cleaner,deepseek-harness|dsh-plugin,verified_plugin
franksong2702/dsh-codex-connect,deepseek-harness|dsh-plugin,verified_plugin
freecodecampxyg/starline-dsh-desktop,deepseek-harness,rejected
fromlan/dsh-godot-tool,dsh-plugin,verified_plugin
frost-reed/blocker-notify,deepseek-harness|dsh-plugin,verified_plugin
